ID,カテゴリ,問題,正答,誤答1,誤答2,誤答3,解説
38,ディープラーニングの概要,入力から出力へ一方向に情報が伝わる最も基本的なニューラルネットワークを何というか。,フィードフォワードニューラルネットワーク,リカレントニューラルネットワーク,敵対的生成ネットワーク,自己組織化マップ,フィードフォワードニューラルネットワークは入力から出力へ順方向のみで情報が流れる基本構造であり、再帰構造を持たない点が特徴である。
39,ディープラーニングの概要,ディープラーニングにおいて人手による特徴量設計の負担が軽減される理由として最も適切なものはどれか。,特徴量をデータから自動的に学習できるため,特徴量が不要だから,すべてのデータを暗号化するため,学習データが不要だから,ディープラーニングは多層構造によりデータから自動的に特徴表現を学習できるため、従来必要だった特徴量設計の負担を大幅に軽減できる。
40,ディープラーニングの概要,ニューラルネットワークの学習において誤差を小さくするようにパラメータを更新することを何というか。,最適化,クラスタリング,次元削減,量子化,最適化は損失関数を最小化するように重みやバイアスを更新するプロセスであり、勾配降下法などが代表的な手法である。
41,ディープラーニングの要素技術,誤差逆伝播法（バックプロパゲーション）の説明として正しいものはどれか。,出力層から入力層へ誤差を伝播させて勾配を計算する手法,入力層から出力層へ順方向に値を伝播させるだけで重みを更新する手法,各層の重みをランダムに変更し、最も誤差が小さくなる組み合わせを探索する手法,出力された予測値そのものを次の学習データとして入力層へ戻す手法,バックプロパゲーションは連鎖律を用いて各層の勾配を効率的に計算し、ニューラルネットワークの学習を可能にする基本アルゴリズムである。
42,ディープラーニングの要素技術,負の入力に対して0を出力し、正の入力に対して入力値をそのまま出力する活性化関数はどれか。,ReLU関数,シグモイド関数,tanh関数,ソフトマックス関数,"ReLU関数はf(x)=max(0,x)で定義され、負の値は0にクリップし正の値はそのまま通すことで非線形性を持ちながら計算効率が高く、現在の深層学習で標準的に使用されている。"
43,ディープラーニングの要素技術,分類問題の出力層で確率分布を得るためによく用いられる活性化関数はどれか。,ソフトマックス関数,ReLU関数,恒等関数,ステップ関数,ソフトマックス関数は複数クラスのスコアを指数関数で正規化し、各クラスの確率として解釈できる形に変換するため多クラス分類の出力層で使用される。
44,ディープラーニングの要素技術,勾配消失問題を緩和し深いネットワークの学習を容易にした活性化関数として最も適切なものはどれか。,ReLU関数,ステップ関数,線形関数,恒等関数,ReLUは正の領域で勾配が1であり勾配消失が起こりにくいため、シグモイドやtanhより深層ネットワークの学習に適している。
47,ディープラーニングの要素技術,各層の出力を正規化して学習を安定化・高速化する手法はどれか。,Batch Normalization,Max Pooling,LSTM,Attention,Batch Normalizationは各層の入力分布を正規化することで内部共変量シフトを抑え、勾配の安定化と学習速度の向上を実現する。
48,ディープラーニングの要素技術,時系列データの処理に適したニューラルネットワークとして代表的なものはどれか。,RNN,CNN,オートエンコーダ,GAN,RNNは過去の情報を隠れ状態として保持しながら逐次データを処理できるため、時系列データや自然言語処理に適している。
49,ディープラーニングの要素技術,長期依存関係を学習するためにRNNを改良したモデルとして代表的なものはどれか。,LSTM,k-means,ナイーブベイズ,ResNet,LSTMはゲート機構により過去情報の保持・忘却を制御し、従来のRNNで問題となる勾配消失を緩和して長期依存関係を学習可能にする。
50,ディープラーニングの要素技術,TransformerのSelf-Attentionで使用される3つのベクトルの組み合わせはどれか。,Query・Key・Value,Input・Hidden・Output,Mean・Variance・Bias,Precision・Recall・F1-score,Self-AttentionではQueryとKeyの類似度で重みを計算し、その重みをValueに適用して情報を集約する構造になっている。
51,ディープラーニングの応用例,画像認識タスクでディープラーニングが特に高い性能を示した代表的なモデルはどれか。,CNN,k近傍法,ナイーブベイズ,線形回帰,CNNは畳み込み層により画像の局所的な空間特徴を効率的に抽出できるため、画像認識・物体検出などで高い性能を発揮する。
52,ディープラーニングの応用例,自然言語処理において機械翻訳や文章生成の基盤技術となっているアーキテクチャはどれか。,Transformer,決定木,主成分分析,ロジスティック回帰,TransformerはSelf-Attention機構を用いて系列内の各単語間の関係を並列に計算できる点が特徴であり、長距離依存関係を効率的に学習できるため機械翻訳や文章生成の基盤となっている。
53,ディープラーニングの応用例,音声認識システムの応用例として最も適切なものはどれか。,音声アシスタントによる音声入力のテキスト化,顧客のクラスタリング,売上予測,データベースの正規化,音声認識は音声信号を解析してテキストに変換する技術であり、スマートスピーカーや音声アシスタントなどで利用されている。
54,ディープラーニングの応用例,生成AIによる画像生成で代表的な応用例はどれか。,テキストから画像を生成するシステム,データの暗号化,データ圧縮のみを行うシステム,データベースの検索システム,Text-to-Imageモデルは自然言語の指示から画像を生成する技術であり、GANや拡散モデルなどが代表的な手法として利用されている。
55,ディープラーニングの応用例,自動運転においてディープラーニングが担う役割として最も適切なものはどれか。,歩行者や標識の認識,エンジンの物理的製造,道路の舗装,通信回線の敷設,自動運転ではカメラやセンサー情報を用いて周囲環境を認識し、安全な走行判断を行うために画像認識技術が重要な役割を担っている。
56,ディープラーニングの応用例,医療分野におけるディープラーニングの活用例として適切なものはどれか。,医用画像の診断支援,薬剤の物理的製造,病院建築の設計,電子カルテの紙への印刷,医療画像解析ではCTやMRIなどの画像から病変を検出するなど、診断支援としてディープラーニングが活用されている。
57,ディープラーニングの応用例,レコメンドシステムにおいてディープラーニングが利用される主な目的はどれか。,利用者の嗜好に合った商品やコンテンツを推薦すること,すべての利用者に人気順で同じ商品やコンテンツを提示すること,商品のカテゴリ情報だけを用いて利用者をグループ化すること,利用者の行動履歴を圧縮してデータ量を削減すること,レコメンドシステムはユーザーの行動履歴や属性情報を学習し、個々の嗜好に合った商品やコンテンツを提示するために利用される。
58,ディープラーニングの応用例,異常検知の応用例として最も適切なものはどれか。,クレジットカードの不正利用検知,画像の圧縮,Webページのデザイン,データ入力の高速化,異常検知は通常とは異なるパターンを検出する技術であり、不正取引検出や故障検知など幅広い分野で活用される。
59,ディープラーニングの応用例,対話型生成AIの主な用途として最も適切なものはどれか。,質問応答や文章生成の支援,ネットワーク機器の製造,CPUの設計,データベースのバックアップ,対話型生成AIは大規模言語モデルを用いて自然な文章生成や質問応答を行い、ユーザーの情報取得や業務支援に活用される。
61,AI倫理・AIガバナンス,AIの公平性（Fairness）の説明として最も適切なものはどれか。,AIシステムが特定の個人や集団に対して不当な差別や偏りを生じさせないようにすること,個人の属性にかかわらず、AIがすべての利用者に必ず同一の結果を出力すること,各属性の学習データ数を完全に同数にすることで性能差をなくすこと,モデルの予測精度をすべての利用者について完全に一致させること,公平性とは、AIが異なる属性を持つ個人や集団に対して不当なバイアスを生じさせないように設計・評価する考え方であり、単に結果を同一にすることではない。
62,AI倫理・AIガバナンス,AIの透明性（Transparency）の説明として最も適切なものはどれか。,AIの判断根拠や仕組みを理解・説明できるようにすること,ソースコードを必ず公開すること,すべてのモデルをオープンソース化すること,学習データを無制限に公開すること,透明性とはAIの意思決定プロセスや出力の根拠を人間が理解・説明できる状態を指し、必ずしもソースコードやデータの完全公開を意味するものではない。
63,AI倫理・AIガバナンス,AIの説明可能性を表す用語として適切なものはどれか。,Explainable AI（XAI）,Optical Character Recognition（OCR）,Natural Language Processing（NLP）,Federated Learning,XAIはAIモデルの判断根拠を人間が理解できる形で提示する技術や研究分野であり、ブラックボックス性の高い深層学習モデルの解釈性向上を目的とする。
64,AI倫理・AIガバナンス,AIシステムの出力や行動を人間の価値観や意図に沿うようにすることを何というか。,アラインメント（Alignment）,トークナイゼーション,正則化,量子化,アラインメントはAIの目的関数や行動を人間の価値観や意図と整合させる概念であり、安全で有用なAIの実現において重要な研究領域である。
65,AI倫理・AIガバナンス,AIの安全性（Safety）に関する説明として最も適切なものはどれか。,AIが意図しない有害な結果をもたらさないようにすること,AIの判断根拠を人間が理解できる形で説明できるようにすること,AIが扱う個人情報や機密情報への不正アクセスを防止すること,AIの判断に含まれる特定の属性に対する不当な偏りを抑えること,AI SafetyはAIシステムが予期せぬ挙動や社会的・物理的に有害な結果を引き起こさないように設計・制御する考え方である。
66,AI倫理・AIガバナンス,Trustworthy AIの要件に含まれるものはどれか。,人間による監督,GPUの利用義務,オープンソース化の義務,教師なし学習の利用,Trustworthy AIはEUのガイドラインに基づき、人間による監督、透明性、公平性、安全性など信頼できるAIのための要件を定義している。
67,AI倫理・AIガバナンス,AIシステムの開発・運用において責任の所在を明確にする考え方を何というか。,アカウンタビリティ（Accountability）,透明性（Transparency）,説明可能性（Explainability）,公平性（Fairness）,アカウンタビリティはAIの設計・運用・結果に対する説明責任を明確にし、誰が責任を持つかを定義する重要なガバナンス概念である。
68,AI倫理・AIガバナンス,AIガバナンスの目的として最も適切なものはどれか。,AIを適切かつ安全に開発・運用するための管理体制を整備すること,AIの予測精度を継続的に向上させるための技術的手法を統一すること,AIの判断過程をすべての利用者に公開すること,AIによる意思決定を原則として人間の判断から独立させること,AIガバナンスは技術・倫理・法律の観点からAIのリスクを管理し、適切な開発・運用を実現するための組織的枠組みである。
69,AI倫理・AIガバナンス,生成AIに関するリスクとして最も適切なものはどれか。,偽情報やディープフェイクの生成,計算速度の向上,データ圧縮率の低下,ネットワーク帯域の増加,生成AIは高品質なコンテンツ生成が可能である一方、偽情報生成やディープフェイクなど社会的リスクを引き起こす可能性がある。
70,AI倫理・AIガバナンス,Human-in-the-Loopの考え方として最も適切なものはどれか。,人間が最終判断に関与し誤判断リスクを低減すること,AIが十分な信頼度を持つ場合には、人間による確認を行わず自動的に最終判断すること,人間の判断結果のみを教師データとして利用し、運用時にはAIだけで判断すること,複数のAIモデルの判断を統合し、人間を介さず最終判断を決定すること,Human-in-the-LoopはAIの判断プロセスに人間を組み込み、重要な意思決定を人間が監督することで安全性と信頼性を向上させるアプローチである。
71,AIに関する法律と契約,個人情報保護法における個人情報の説明として最も適切なものはどれか。,生存する個人に関する情報であり特定の個人を識別できるもの,法人に関するすべての情報,インターネット上に公開されている情報のみ,統計データのみ,個人情報とは生存する個人に関する情報で、氏名・生年月日・顔画像などにより特定の個人を識別できる情報を指し、法人情報や統計情報は含まれない。
72,AIに関する法律と契約,個人情報保護法における要配慮個人情報の例として適切なものはどれか。,病歴,メールアドレス,会社名,趣味,要配慮個人情報は人種・信条・社会的身分・病歴など差別や偏見につながるおそれのある情報であり、特に慎重な取り扱いが求められる。メールアドレスや会社名、趣味は通常の個人情報であり要配慮には該当しない。
73,AIに関する法律と契約,著作権法第30条の4で認められているものはどれか。,情報解析を目的とした著作物の利用,著作物の無断販売,著作物の無断改変,著作物の著作者名の削除,著作権法第30条の4では、AI学習やデータ解析など情報解析目的であれば一定条件の下で著作物利用が認められているが、販売や改変などの行為は別途権利侵害となり得る。
74,AIに関する法律と契約,個人データを第三者へ提供する際の原則として適切なものはどれか。,本人の同意を得る,必ず無償で提供する,匿名化は不要である,利用目的の通知は不要である,個人データの第三者提供は原則として本人の同意が必要であり、例外を除いて無断提供は認められていない。
75,AIに関する法律と契約,EUの個人データ保護に関する規則として正しいものはどれか。,GDPR,SOX法,COPPA,PL法,GDPRはEUにおける一般データ保護規則であり、個人データの保護と越境データ移転のルールを定めた世界的に重要なプライバシー規制である。
76,AIに関する法律と契約,個人を識別できないように加工し復元できないようにした情報を何というか。,匿名加工情報,個人データ,仮名加工情報,機微情報,匿名加工情報は特定の個人を識別できず、元の個人情報を復元できないよう適切に加工されたデータであり、統計利用などで活用される。
77,AIに関する法律と契約,AI開発において学習データの利用条件や責任分担を定めるために締結されるものはどれか。,契約,ガバナンス,アルゴリズム,正則化,AI開発ではデータ利用条件・知的財産権・責任範囲を明確にするため契約が重要であり、技術要素ではなく法的枠組みである。
78,AIに関する法律と契約,AI生成物の著作権に関する日本の考え方として最も適切なものはどれか。,人間の創作的寄与がある場合には著作物として保護され得る,AIが生成したものはすべて自動的に著作権が発生する,AI自身が著作者となる,生成物にはいかなる場合も著作権は認められない,日本では著作物性の判断において人間の創作的関与が重要であり、AI単独生成物は原則として著作物に該当しない場合が多い。
79,AIに関する法律と契約,不正競争防止法で保護の対象となるものはどれか。,営業秘密,すべての公開情報,すべての学術論文,インターネット上の画像全般,営業秘密は秘密管理性・有用性・非公知性の三要件を満たすことで保護され、不正取得や漏えいが禁止される。
80,AIに関する法律と契約,個人情報保護法における利用目的の特定の趣旨として最も適切なものはどれか。,個人情報を何のために利用するかを本人に明確にすること,個人情報を無制限に利用できるようにすること,個人情報をすべて公開すること,利用目的を定めずに収集すること,利用目的の特定は個人情報の透明性と適正利用を確保するための基本原則であり、本人が利用範囲を理解できるようにすることが目的である。
81,AIの社会実装に向けて,PoC（Proof of Concept）の目的として最も適切なものはどれか。,アイデアや技術の実現可能性を検証すること,製品を量産すること,法改正を行うこと,組織を再編すること,PoCは本格開発や導入の前段階で、技術的・事業的な実現可能性を小規模に検証するためのプロセスである。
82,AIの社会実装に向けて,AIプロジェクトでPoCを繰り返すだけで本番導入に至らない状態を何というか。,PoCの死の谷,シンギュラリティ,過学習,データ拡張,PoCの死の谷とは、概念検証（PoC）が成功しても実運用や事業化に進まず、実用化の段階で停滞してしまう状態を指す。技術的には成功しているがビジネス価値につながらない点が本質的な課題である。
83,AIの社会実装に向けて,AI導入を成功させるために重要な要素として最も適切なものはどれか。,経営課題とAI活用目的を明確にすること,最初に大規模モデルを構築すること,すべてのデータを収集すること,AIの利用目的を決めないこと,AI導入では技術選定よりも先に、解決すべき業務課題やビジネス目的を明確にすることが重要であり、それに基づいて適切な手段としてAIを活用する必要がある。
84,AIの社会実装に向けて,MLOpsの説明として最も適切なものはどれか。,機械学習モデルの開発・運用を継続的に改善するための仕組み,データベースを設計する手法,法律遵守のための監査制度,画像圧縮技術,MLOpsは機械学習モデルの開発からデプロイ、監視、再学習までを継続的に運用するための仕組みであり、DevOpsの考え方を機械学習に適用したものである。
85,AIの社会実装に向けて,モデルドリフトとは何か。,時間の経過とともにモデルの性能が低下する現象,モデルのサイズが増加する現象,GPUの故障,データが暗号化される現象,モデルドリフトは、入力データの分布変化などにより学習時の前提が崩れ、時間とともにモデルの予測性能が劣化する現象である。運用環境では継続的な監視が必要となる。
86,AIの社会実装に向けて,AIシステムの継続的な性能監視の目的として最も適切なものはどれか。,性能劣化や異常を早期に検知すること,モデルのパラメータ数を増やすこと,データベースを削除すること,学習データを非公開にすること,本番環境ではモデルの性能は時間とともに変化する可能性があるため、継続的に監視し、劣化や異常を早期に検知することが重要である。
87,AIの社会実装に向けて,DXの説明として最も適切なものはどれか。,デジタル技術を活用してビジネスや組織を変革すること,紙の資料を電子化することのみを指す,AIモデルを大規模化すること,クラウド移行のみを指す,DXは単なるデジタル化ではなく、デジタル技術を活用して業務プロセスやビジネスモデルそのものを変革し競争優位を生み出す取り組みである。
88,AIの社会実装に向けて,ROIを評価する目的として最も適切なものはどれか。,投資対効果を把握すること,モデルの精度を算出すること,データ量を測定すること,GPU性能を測定すること,ROIは投資額に対してどれだけの利益や効果が得られたかを評価する指標であり、AI導入の意思決定において重要な判断材料となる。
89,AIの社会実装に向けて,AIプロジェクトで複数の専門職が連携する理由として最も適切なものはどれか。,技術と業務要件を両立し実用的なシステムを構築するため,モデルのパラメータ数を増やすため,法規制を不要にするため,学習データを削減するため,AIの社会実装にはデータサイエンス、エンジニアリング、業務知識の統合が必要であり、単一分野では実運用に耐えるシステムは構築できない。
90,AIに必要な数理・統計知識,平均値（算術平均）の計算式として正しいものはどれか。,データの合計をデータ数で割った値,データを昇順に並べたときの中央の値,最も多く出現する値,最大値と最小値の差,平均値はデータ全体の合計をデータ数で割って求める代表値であり、中央値や最頻値、範囲とは異なる統計量である。
91,AIに必要な数理・統計知識,データを昇順に並べたとき中央に位置する値を何というか。,中央値（Median）,平均値（Mean）,最頻値（Mode）,分散（Variance）,中央値はデータを順序で並べたときの中央の値であり、外れ値の影響を受けにくいという特徴がある。平均値は全体の合計を要素数で割るため外れ値に影響されやすく、最頻値は最も出現頻度が高い値、分散はばらつきの指標であり役割が異なる。
92,AIに必要な数理・統計知識,データのばらつきの大きさを表す指標として適切なものはどれか。,分散,平均,最頻値,中央値,分散は各データが平均値からどの程度離れているかを数値化した指標であり、データのばらつきの基本的な尺度である。平均や中央値は代表値であり、最頻値は出現回数を表すためばらつきの評価とは異なる。
93,AIに必要な数理・統計知識,2つの事象A、Bが独立であるときに成り立つ式はどれか。,P(A∩B)=P(A)P(B),P(A∩B)=P(A)+P(B),P(A|B)=1,P(A)=P(B),独立事象では一方の発生がもう一方の確率に影響を与えないため、同時確率は各確率の積として表される。加算式や条件付き確率の固定値表現は独立性の条件とは一致しない。
94,AIに必要な数理・統計知識,ベイズの定理を表す式として正しいものはどれか。,P(A|B)=P(B|A)P(A)/P(B),P(A|B)=P(A)+P(B),P(A∩B)=P(A)-P(B),P(A)=1-P(B),ベイズの定理は事後確率P(A|B)を事前確率P(A)と尤度P(B|A)および周辺確率P(B)から求める基本式であり、確率の更新に用いられる重要な統計概念である。
95,AIに必要な数理・統計知識,微分の主な役割として最も適切なものはどれか。,関数の変化率を求めること,データを並べ替えること,行列を分解すること,確率を計算すること,微分は関数の局所的な変化率を求める手法であり、ニューラルネットワークでは損失関数の勾配計算に利用される。データ操作や行列分解とは異なる数学的概念である。
96,AIに必要な数理・統計知識,勾配降下法の目的はどれか。,損失関数を最小化すること,データ数を増やすこと,特徴量を削除すること,確率分布を生成すること,勾配降下法は損失関数の勾配を用いてパラメータを更新し、誤差を最小化する最適化アルゴリズムである。データ操作や生成モデルとは目的が異なる。
97,AIに必要な数理・統計知識,行列積ABが定義される条件として正しいものはどれか。,Aの列数とBの行数が一致する,AとBの行数が一致する,AとBの列数が一致する,AとBの行数と列数がすべて一致する,行列積は前の行列の列数と後ろの行列の行数が一致している場合にのみ定義される。これは線形代数の基本ルールであり、他の条件では積は定義されない。
