大分類,カテゴリ,項目No,項目名,キーワード,意味
技術分野,人工知能をめぐる動向,3,探索・推論,STRIPS,初期状態と目標状態と演算子の前提条件・効果を記述して計画問題を解く古典的プランニングシステムおよびその表現形式
技術分野,人工知能をめぐる動向,3,探索・推論,探索木,状態遷移や手の候補を枝として表し探索アルゴリズムが辿る可能な状態の組合せを木構造で表現したもの
技術分野,人工知能をめぐる動向,3,探索・推論,ハノイの塔,大きさの異なる円盤を三本の棒間でルールを守って移動させるパズルで再帰的構造を持つ典型的な探索問題の例
技術分野,人工知能をめぐる動向,3,探索・推論,幅優先探索,初期状態からの手数が少ない順に探索木を広がり方向に調べていくアルゴリズムで手数最短解を見つけられる探索手法
技術分野,人工知能をめぐる動向,3,探索・推論,深さ優先探索,ある枝を可能な限り深くたどってから行き止まりで戻るという方針で動く探索アルゴリズムでメモリ使用量が少ないのが特徴
技術分野,人工知能をめぐる動向,3,探索・推論,ブルートフォース,問題の全ての候補や組合せを網羅的に試して解を見つける力任せの探索方法
技術分野,人工知能をめぐる動向,3,探索・推論,モンテカルロ法,乱数により多くの試行やサンプルを生成して確率的に数値計算や評価を行う手法でゲーム木探索ではモンテカルロ木探索として使われる
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,Cyc プロジェクト,人間の常識的知識を大量の述語論理ルールとして記述し推論できるようにすることを目指した大規模知識ベース構築プロジェクト
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,DENDRAL,質量分析の結果から有機化合物の構造を推定することを目的とした初期の科学分野向けエキスパートシステム
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,is-a の関係・has-a の関係・part-of の関係,クラスとその下位概念を結ぶis-a所有や属性を表すhas-a全体と部分の構成を表すpart-ofといった知識表現で頻用される関係
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,Question Answering,自然言語で与えられた質問に対し知識ベースや文書集合から情報を取り出し推論して適切な答えを返すシステム
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,意味ネットワーク,概念をノード関係をリンクとして表し意味的つながりをグラフ構造で表現する知識表現の形式
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,イライザ (ELIZA),パターンマッチと言い換え規則によりカウンセラーのような対話を擬似的に行う初期の会話ボットプログラム
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,インタビューシステム,ユーザや専門家に質問を投げかけて回答を得ながら診断や判断を行ったり知識を聞き出したりする対話型のエキスパートシステム
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,ウェブマイニング,ウェブページの内容構造利用履歴などのデータからパターンや知識を抽出するデータマイニング技術
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,オントロジー,対象領域の概念とそれらの関係を明示的に定義した語彙とルールの集合で機械可読な知識モデル
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,セマンティック Web,ウェブ上の情報に意味的なメタデータを付与しRDFやOWLなどを用いてコンピュータが内容を理解し推論できるようにした拡張ウェブ構想
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,データマイニング,大量のデータから統計的手法や機械学習を用いて有用なパターンや規則を発見するプロセス
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,東ロボくん,大学入試問題とくに東京大学合格レベルを目指して自動解答することに挑戦した日本のプロジェクトでAIの限界や課題を検証する試み
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,マイシン (MYCIN),感染症の診断と抗生物質選択を支援するためのルールベースエキスパートシステムの代表例
技術分野,人工知能をめぐる動向,4,知識表現とエキスパートシステム,ワトソン,クイズ番組で人間チャンピオンに勝利したことで知られるIBMの質問応答システムで大量の文書から自然言語処理と推論で回答を導く
技術分野,人工知能をめぐる動向,5,機械学習,次元の呪い,特徴量の次元数が増えるほどデータが疎になり計算量や必要なデータ量が急増して学習や汎化が難しくなる現象
技術分野,人工知能をめぐる動向,5,機械学習,スパムフィルタ,メールなどの内容や送信元などから学習しスパムか正常かを自動判定する機械学習による分類システム
技術分野,人工知能をめぐる動向,5,機械学習,ビッグデータ,従来のデータベース技術では扱いが難しいほど大量かつ多様かつ高速に生成されるデジタルデータ群
技術分野,人工知能をめぐる動向,5,機械学習,レコメンデーションエンジン,ユーザの履歴や属性とアイテムの特徴を学習し一人ひとりに合いそうな商品やコンテンツを自動的に提示する仕組み
技術分野,人工知能をめぐる動向,5,機械学習,統計的自然言語処理,大規模なテキストデータに基づき統計モデルや機械学習を用いて言語処理を行う手法の総称
技術分野,人工知能をめぐる動向,6,ディープラーニング,ImageNet,一千万枚規模のラベル付き画像から成る公開データセットで物体認識モデルの学習と評価の標準ベンチマークとして使われた
技術分野,人工知能をめぐる動向,6,ディープラーニング,ILSVRC,ImageNet を使った画像分類や物体検出の世界的なコンペティションでディープラーニングブームのきっかけとなった評価大会
技術分野,人工知能をめぐる動向,6,ディープラーニング,LeNet,手書き数字認識を対象とした初期の畳み込みニューラルネットワークで現在の CNN の原型となったモデル
技術分野,人工知能をめぐる動向,6,ディープラーニング,アルファ碁 (AlphaGo),ディープラーニングとモンテカルロ木探索を組み合わせプロ棋士を打ち負かした囲碁プログラム
技術分野,人工知能をめぐる動向,6,ディープラーニング,人間の神経回路,脳内のニューロンとシナプスから成る情報処理の仕組みで人工ニューラルネットワークの着想源となった構造
技術分野,人工知能をめぐる動向,6,ディープラーニング,ネオコグニトロン,視覚野の階層構造を模した多層ネットワークで局所特徴の抽出と位置ずれに強い認識を実現した畳み込み型モデル
技術分野,人工知能をめぐる動向,6,ディープラーニング,生成 AI,学習した確率分布に基づき新しい文章や画像や音声などのデータを自動生成する人工知能技術の総称
技術分野,機械学習の概要,7,教師あり学習,アンサンブル学習,複数のモデルを組み合わせて予測を行い単独モデルより精度や安定性を高める学習手法
技術分野,機械学習の概要,7,教師あり学習,カーネル,元の特徴量空間の内積を高次元特徴空間の内積として扱えるようにする類似度関数でSVMなどに用いられる
技術分野,機械学習の概要,7,教師あり学習,カーネルトリック,高次元特徴への明示的な変換を行わずカーネル関数だけでその空間の内積を計算して非線形問題を解く工夫
技術分野,機械学習の概要,7,教師あり学習,回帰問題,入力に対して連続値の出力を予測する教師あり学習の問題設定
技術分野,機械学習の概要,7,教師あり学習,決定木,特徴量に対する条件分岐を木構造で表現し葉に予測値やクラスを割り当てるモデル
技術分野,機械学習の概要,7,教師あり学習,勾配ブースティング,損失の勾配情報を用いながら弱学習器を逐次追加していき誤差を減らしていくブースティング手法
技術分野,機械学習の概要,7,教師あり学習,サポートベクターマシン (SVM),クラス間のマージンを最大にする超平面を求めることで分類や回帰を行うカーネル法ベースの学習アルゴリズム
技術分野,機械学習の概要,7,教師あり学習,線形回帰,説明変数と目的変数の関係を一次式で近似し最小二乗法などで係数を推定する回帰モデル
技術分野,機械学習の概要,7,教師あり学習,自己回帰モデル (ARモデル),時系列の現在値を過去の自分自身の値の線形結合として表す統計的時系列モデル
技術分野,機械学習の概要,7,教師あり学習,単回帰分析,一つの説明変数と一つの目的変数の関係を線形回帰で解析する手法
技術分野,機械学習の概要,7,教師あり学習,重回帰分析,複数の説明変数を用いて目的変数を線形回帰で説明する回帰分析
技術分野,機械学習の概要,7,教師あり学習,多クラス分類,三つ以上のクラスのいずれかに入力を割り当てる分類問題
技術分野,機械学習の概要,7,教師あり学習,バギング,ブートストラップサンプルごとに学習器を作りその結果を平均や多数決で統合して分散を減らすアンサンブル手法
技術分野,機械学習の概要,7,教師あり学習,ブースティング,誤分類されたデータに重み付けをしながら弱学習器を逐次追加し全体として強い学習器を構成するアンサンブル手法
技術分野,機械学習の概要,7,教師あり学習,ブートストラップサンプリング,元データから復元抽出で同じサイズのサンプルを繰り返し作る再標本化方法
技術分野,機械学習の概要,7,教師あり学習,分類問題,入力を離散的なクラスラベルのいずれかに割り当てる教師あり学習の問題設定
技術分野,機械学習の概要,7,教師あり学習,ベクトル自己回帰モデル (VARモデル),複数系列から成る多変量時系列について各系列の現在値を全系列の過去の値の線形結合で表すモデル
技術分野,機械学習の概要,7,教師あり学習,マージン最大化,分類境界と各クラスのデータ点との距離をできるだけ大きく取ることで汎化性能を高めようとする考え方
技術分野,機械学習の概要,7,教師あり学習,ランダムフォレスト,決定木を多数作成し特徴量とデータをランダムに選びながら学習させその予測を多数決や平均で統合するアンサンブルモデル
技術分野,機械学習の概要,7,教師あり学習,ロジスティック回帰,線形結合をシグモイド関数などで確率に変換し主に二値分類に用いられる統計モデルで多クラス拡張もある
技術分野,機械学習の概要,8,教師なし学習,k-means 法,クラスタ中心をあらかじめ決めた個数だけ仮定し各データを最も近い中心に割り当て中心を更新する操作を繰り返す代表的なクラスタリング手法
技術分野,機械学習の概要,8,教師なし学習,t-SNE,高次元データ間の類似度を確率的に表現しその関係が保たれるように低次元へ写像して可視化する次元削減手法
技術分野,機械学習の概要,8,教師なし学習,ウォード法,クラスタを統合したときの全体の分散の増加が最も小さくなる組合せを選びながら段階的に結合していく階層的クラスタリングの手法
技術分野,機械学習の概要,8,教師なし学習,協調フィルタリング,多くのユーザとアイテムの評価履歴をもとに似たユーザやアイテムを探しまだ評価していないアイテムを推薦する手法
技術分野,機械学習の概要,8,教師なし学習,クラスタリング,正解ラベルのないデータを類似度などに基づいて自然なグループに分ける教師なし学習の代表的なタスク
技術分野,機械学習の概要,8,教師なし学習,コールドスタート問題,レコメンドなどで新しいユーザやアイテムには履歴がほとんどなく好みを推定しにくいことで精度が出にくくなる問題
技術分野,機械学習の概要,8,教師なし学習,コンテンツベースフィルタリング,アイテムのジャンルやキーワードなどの内容情報とユーザの嗜好特徴を使って似たアイテムを推薦する手法
技術分野,機械学習の概要,8,教師なし学習,次元削減,多数の特徴量を持つ高次元データを重要な情報をできるだけ保ったまま扱いやすい低次元空間に写像する変換
技術分野,機械学習の概要,8,教師なし学習,主成分分析 (PCA),分散が最も大きくなる方向を主成分として順に求めその軸に射影することで次元を削減する線形手法
技術分野,機械学習の概要,8,教師なし学習,潜在的ディリクレ配分法 (LDA),文書を複数の潜在トピックの混合として表し単語の出現パターンからトピック構造を推定する確率的トピックモデル
技術分野,機械学習の概要,8,教師なし学習,多次元尺度構成法 (MDS),対象間の距離や類似度ができるだけ保たれるように低次元空間上に点を配置して可視化する次元削減手法
技術分野,機械学習の概要,8,教師なし学習,デンドログラム (樹形図),階層的クラスタリングでどのクラスタがどの順序で結合されたかを木構造として表した図
技術分野,機械学習の概要,8,教師なし学習,特異値分解 (SVD),行列を左特異ベクトルと特異値と右特異ベクトルの積に分解する方法で次元削減や潜在要因の抽出に用いられる
技術分野,機械学習の概要,8,教師なし学習,トピックモデル,文書集合の単語の共起パターンから潜在的な話題を確率的に推定し文書をトピックの混合として表すモデル群
技術分野,機械学習の概要,9,強化学習,Actor-Critic,方策を表すアクターと価値関数を表すクリティックを同時に学習して方策改善を行う強化学習手法
技術分野,機械学習の概要,9,強化学習,ε-greedy 方策,確率イプシロンでランダムな行動を選び残りの確率で現在の価値が最大の行動を選ぶことで探索と活用を両立させる方策
技術分野,機械学習の概要,9,強化学習,REINFORCE,エピソード全体の報酬を用いて方策の対数確率の勾配に沿ってパラメータを更新するモンテカルロ方策勾配法
技術分野,機械学習の概要,9,強化学習,Q 学習,状態と行動の組に対する価値を逐次更新し次状態での最大値を利用して最適行動価値関数を推定するオフポリシー型の強化学習手法
技術分野,機械学習の概要,9,強化学習,UCB 方策,推定された報酬の平均値に不確実性に応じた上側信頼境界を足しその値が最大となる行動を選んで探索と活用のバランスを取る手法
技術分野,機械学習の概要,9,強化学習,行動価値関数,ある状態で特定の行動をとりその後方策に従ったときに得られる将来報酬の期待値を表す関数
技術分野,機械学習の概要,9,強化学習,状態価値関数,ある状態から方策に従って行動したときに得られる将来報酬の期待値を状態ごとに表した関数
技術分野,機械学習の概要,9,強化学習,バンディットアルゴリズム,複数の選択肢の中から未知の報酬分布を持つ腕を逐次選択しながら情報を集めつつ獲得報酬の累積を最大化しようとするアルゴリズム群
技術分野,機械学習の概要,9,強化学習,方策勾配法,方策を連続パラメータで表現し期待報酬の勾配を推定して方策パラメータを直接更新する強化学習手法
技術分野,機械学習の概要,9,強化学習,マルコフ決定過程,状態行動遷移確率報酬割引率から構成され現在の状態と行動だけで次の状態が決まるというマルコフ性を持つ意思決定の枠組み
技術分野,機械学習の概要,9,強化学習,割引率,将来の報酬をどの程度現在の価値として重視するかを表すゼロから一の係数で値が小さいほど遠い将来の報酬の重みが小さくなる
技術分野,機械学習の概要,9,強化学習,SARSA,現在の状態と行動次の状態と実際に選んだ次行動と報酬から行動価値を更新するオンポリシー型の時系列差分学習手法
技術分野,機械学習の概要,10,モデルの選択・評価,k- 分割交差検証,データをほぼ同じ大きさのk個の部分集合に分けてそのうち1つを評価用残りを学習用とし順番に入れ替えながらk回評価することで性能を安定に見積もる方法
技術分野,機械学習の概要,10,モデルの選択・評価,平均二乗誤差 (MSE),予測値と実測値の差を二乗して平均した回帰問題でよく使われる誤差指標で大きな誤差をより強くペナルティする
技術分野,機械学習の概要,10,モデルの選択・評価,二乗平均平方根誤差 (RMSE),平均二乗誤差の平方根で元の値と同じスケールで誤差の大きさを表す指標
技術分野,機械学習の概要,10,モデルの選択・評価,平均絶対値誤差 (MAE),予測値と実測値の差の絶対値を平均した指標で大きな外れ値の影響を抑えたいときに用いられる
技術分野,機械学習の概要,10,モデルの選択・評価,ROC 曲線・AUC,しきい値を変化させたときの真陽性率と偽陽性率の関係を図示したものがROC曲線でその曲線下の面積がAUCとなり分類性能の良さを一値で表す
技術分野,機械学習の概要,10,モデルの選択・評価,赤池情報量規準 (AIC),尤度とパラメータ数から計算され当てはまりの良さとモデルの複雑さのバランスを取って比較するための情報量規準値
技術分野,機械学習の概要,10,モデルの選択・評価,オッカムの剃刀,説明力が同程度ならより単純な仮説やモデルを選ぶべきとする考え方
技術分野,機械学習の概要,10,モデルの選択・評価,過学習,学習データにはよく適合するがノイズまで覚え込んでしまい未知データでの性能が落ちてしまう状態
技術分野,機械学習の概要,10,モデルの選択・評価,交差検証,データを複数の分割に分けて学習と評価を入れ替えながら何度か試すことで性能を安定して推定する検証方法の総称
技術分野,機械学習の概要,10,モデルの選択・評価,偽陽性・偽陰性,本当は陰性なのに陽性と判定する誤りが偽陽性本当は陽性なのに陰性と判定する誤りが偽陰性
技術分野,機械学習の概要,10,モデルの選択・評価,真陽性・真陰性,本当に陽性のものを陽性と正しく判定したものが真陽性本当に陰性のものを陰性と正しく判定したものが真陰性
技術分野,機械学習の概要,10,モデルの選択・評価,混同行列,分類問題で真のクラスと予測クラスの組合せごとの件数を表にまとめたもの
技術分野,機械学習の概要,10,モデルの選択・評価,正解率・適合率・再現率・F 値,正解率は全体のうち正しく分類できた割合適合率は陽性と予測したうち真に陽性だった割合再現率は真の陽性のうち陽性と予測できた割合F値は適合率と再現率の調和平均
技術分野,機械学習の概要,10,モデルの選択・評価,汎化性能,学習に使っていない未知データに対してどの程度良い予測ができるかという性能
技術分野,機械学習の概要,10,モデルの選択・評価,ベイズ情報量規準 (BIC),AICに似るがサンプル数に応じてより強くパラメータ数を罰則する情報量規準でシンプルなモデルをより選びやすい指標
技術分野,機械学習の概要,10,モデルの選択・評価,ホールドアウト検証,データを学習用と評価用に一度だけ分割し学習データでモデルを作り評価データで性能を確認する基本的な検証方法
技術分野,ディープラーニングの概要,11,ニューラルネットワークとディープラーニング,CPU,コンピュータ全体の処理を担う汎用の中央演算装置で逐次処理が得意なプロセッサ
技術分野,ディープラーニングの概要,11,ニューラルネットワークとディープラーニング,GPU,もともと画像処理用に開発された多数の演算ユニットを持つプロセッサで行列演算などを高速に並列処理できディープラーニングでよく利用される
技術分野,ディープラーニングの概要,11,ニューラルネットワークとディープラーニング,TPU,グーグルが機械学習用に設計した専用プロセッサでテンソル演算を高速かつ省電力で実行できるハードウェア
技術分野,ディープラーニングの概要,11,ニューラルネットワークとディープラーニング,隠れ層・入力層・出力層,入力層は外から特徴量を受け取る層隠れ層は中間表現を学習する層出力層は最終的な予測値やクラスを出す層を指す
技術分野,ディープラーニングの概要,11,ニューラルネットワークとディープラーニング,多層パーセプトロン,入力層と一つ以上の隠れ層と出力層からなる全結合型のフィードフォワードニューラルネットワーク
技術分野,ディープラーニングの概要,11,ニューラルネットワークとディープラーニング,単純パーセプトロン,重み付き和にしきい値関数などを適用して二値分類を行う単層の線形分類器で線形分離可能な問題のみ解ける
技術分野,ディープラーニングの概要,12,活性化関数,Leaky ReLU 関数,入力が負のときにも小さな傾きを持たせて出力をわずかに変化させることでニューロンが完全に死ぬことを防ぐ ReLU の変種
技術分野,ディープラーニングの概要,12,活性化関数,ReLU 関数,入力が正ならそのまま出力し負なら零を出す関数で勾配消失を起こしにくくディープラーニングで広く使われる
技術分野,ディープラーニングの概要,12,活性化関数,tanh 関数,入力をマイナス一からプラス一の範囲に滑らかに写像する双曲線正接関数でゼロ中心の出力を持つ
技術分野,ディープラーニングの概要,12,活性化関数,シグモイド関数,入力を零から一の範囲の滑らかな曲線に写像するS字型の活性化関数で確率のような出力に解釈しやすい
技術分野,ディープラーニングの概要,12,活性化関数,ソフトマックス関数,複数の入力を指数関数で変換し総和が一となるよう正規化することで各クラスに属する確率分布として解釈できるようにする関数
技術分野,ディープラーニングの概要,12,活性化関数,勾配消失問題,層が深くなるほど逆伝播で伝わる勾配の値が極端に小さくなり前の層の重みがほとんど更新されなくなる学習上の問題
技術分野,ディープラーニングの概要,13,誤差関数,Contrastive Loss,類似ペアの距離は近く非類似ペアの距離は一定以上離れるように二つ組のサンプル間距離を学習させる損失関数
技術分野,ディープラーニングの概要,13,誤差関数,Triplet Loss,アンカーとそれに似た正例と異なる負例の三つ組を用いアンカーと正例の距離よりアンカーと負例の距離が十分大きくなるように学習させる損失関数
技術分野,ディープラーニングの概要,13,誤差関数,カルバック・ライブラー情報量 (KL),ある確率分布が別の確率分布からどれだけずれているかを測る非対称な指標で分布間の距離を測るのに使われる
技術分野,ディープラーニングの概要,13,誤差関数,交差エントロピー,真の分布と予測分布の食い違いを測る損失で分類問題において正解クラスの対数確率のマイナス平均で定義されることが多い
技術分野,ディープラーニングの概要,13,誤差関数,平均二乗誤差関数,予測値と正解値の差を二乗して平均した回帰問題でよく用いられる損失関数
技術分野,ディープラーニングの概要,14,正則化,L0 正則化,モデルパラメータのうちゼロでない要素の個数を罰則項として加えパラメータ数そのものを減らすことを目的とする正則化手法
技術分野,ディープラーニングの概要,14,正則化,L1 正則化,重みの絶対値の和を損失に罰則として加えることで多くの重みをちょうどゼロにし疎なモデルを得やすくする正則化
技術分野,ディープラーニングの概要,14,正則化,L2 正則化,重みの二乗和を罰則として加えることで大きな重みを抑え滑らかで過学習しにくいモデルにする正則化
技術分野,ディープラーニングの概要,14,正則化,正則化,損失関数にモデルの複雑さを表す罰則項などを加えることで過学習を防ぎ汎化性能を高めるための手法全般
技術分野,ディープラーニングの概要,14,正則化,ドロップアウト,学習時に各ニューロンを一定確率で一時的に無効化しユニット同士の共適応を抑えて汎化性能を高める手法
技術分野,ディープラーニングの概要,14,正則化,ラッソ回帰,L1正則化を導入した線形回帰で不要な説明変数の係数がゼロになりやすく変数選択効果も持つ回帰手法
技術分野,ディープラーニングの概要,14,正則化,リッジ回帰,L2正則化を導入した線形回帰で重みの大きさを抑えることで多重共線性の影響を和らげ過学習を防ぐ手法
技術分野,ディープラーニングの概要,15,誤差逆伝播法,勾配消失問題,層が深くなるにつれ逆伝播で伝わる勾配の値が極端に小さくなり前段の重みがほとんど更新されなくなる学習上の問題
技術分野,ディープラーニングの概要,15,誤差逆伝播法,勾配爆発問題,逆伝播で計算される勾配の値が極端に大きくなり重み更新が不安定になったり数値的に発散してしまう問題
技術分野,ディープラーニングの概要,15,誤差逆伝播法,信用割当問題,最終的な出力や報酬の結果に対してどのニューロンやどの時点の行動がどれだけ貢献したのかを個々の要素に割り当てることが難しいという問題
技術分野,ディープラーニングの概要,15,誤差逆伝播法,連鎖律,複合関数の微分を外側の微分と内側の微分の積として計算できるという微分法の性質で誤差逆伝播で勾配を伝播させる理論的な基盤
技術分野,ディープラーニングの概要,16,最適化手法,AdaBound,Adam のような適応的学習率と通常の SGD の挙動をなめらかにつなぎ学習率の上下限を制限して安定性を高めた最適化手法
技術分野,ディープラーニングの概要,16,最適化手法,AdaDelta,勾配の二乗和だけでなく更新量の二乗和も用いて学習率を自動調整し事前に学習率を決めなくてもよいようにした手法
技術分野,ディープラーニングの概要,16,最適化手法,AdaGrad,各パラメータごとに過去の勾配の大きさを蓄積し勾配が大きいパラメータほど学習率を小さくして更新量を抑える手法
技術分野,ディープラーニングの概要,16,最適化手法,Adam,勾配の一次モーメントと二次モーメントの推定を組み合わせて各パラメータの学習率を自動調整するよく使われる最適化アルゴリズム
技術分野,ディープラーニングの概要,16,最適化手法,AMSBound,Adam の急激な学習率変化による収束不安定を抑えるため学習率に上下限を設けた Adam 系の改良手法
技術分野,ディープラーニングの概要,16,最適化手法,RMSprop,勾配二乗の指数移動平均を用いて最近の勾配の大きさに応じて学習率を調整する最適化手法
技術分野,ディープラーニングの概要,16,最適化手法,鞍点,ある方向には谷で別の方向には山になっている点で勾配がほぼゼロとなり学習が停滞しやすい状態
技術分野,ディープラーニングの概要,16,最適化手法,イテレーション,パラメータ更新などの計算を一回行うことまたはその繰り返し回数
技術分野,ディープラーニングの概要,16,最適化手法,エポック,学習データ全体を一通り使って学習を一巡させることを表す単位
技術分野,ディープラーニングの概要,16,最適化手法,オンライン学習,新しいデータが到着するたびに逐次パラメータを更新する学習形態でストリームデータにも対応しやすい
技術分野,ディープラーニングの概要,16,最適化手法,学習率,勾配に対してどの程度パラメータを動かすかを決める係数で大きすぎると発散し小さすぎると収束が遅くなる
技術分野,ディープラーニングの概要,16,最適化手法,確率的勾配降下法 (SGD),全データではなくランダムに選んだサンプルまたは小さなバッチで勾配を近似しながら繰り返し更新する勾配降下法
技術分野,ディープラーニングの概要,16,最適化手法,グリッドサーチ,ハイパーパラメータの候補値の格子をあらかじめ決め全ての組合せを総当たりで試して良い組を探す方法
技術分野,ディープラーニングの概要,16,最適化手法,勾配降下法,損失関数の勾配の負の方向にパラメータを少しずつ動かして損失が小さくなる点を探す基本的な最適化手法
技術分野,ディープラーニングの概要,16,最適化手法,局所最適解,探索している範囲の近傍では最も損失が小さいが全体としてはもっと良い解が別の場所に存在するような解
技術分野,ディープラーニングの概要,16,最適化手法,早期終了,学習を続けると訓練誤差は下がるが検証誤差が悪化し始めるタイミングで学習を打ち切り過学習を防ぐ手法
技術分野,ディープラーニングの概要,16,最適化手法,大域最適解,探索空間全体の中で損失が最も小さい真の最良解
技術分野,ディープラーニングの概要,16,最適化手法,二重降下現象,モデルの容量を増やしていくと一度テスト誤差が悪化したあとさらに容量を増やすと再び誤差が下がるという振る舞い
技術分野,ディープラーニングの概要,16,最適化手法,ノーフリーランチの定理,あらゆる問題に対して常に他より優れた性能を発揮する学習アルゴリズムは存在しないとする理論結果
技術分野,ディープラーニングの概要,16,最適化手法,ハイパーパラメータ,学習率やバッチサイズなど学習アルゴリズムの外側で人が設定する必要があるパラメータ
技術分野,ディープラーニングの概要,16,最適化手法,バッチ学習,手元の学習データ全体を用いてまとめて学習を行う形態でデータが固定されているときに用いられる
技術分野,ディープラーニングの概要,16,最適化手法,ミニバッチ学習,全データをいくつかの小さなバッチに分けバッチごとに勾配を計算して更新するSGDとバッチ学習の中間的な学習形態
技術分野,ディープラーニングの概要,16,最適化手法,モーメンタム,直近の更新方向を慣性として加味し谷間での振動を抑えつつ勾配方向に加速して収束を速める工夫
技術分野,ディープラーニングの概要,16,最適化手法,ランダムサーチ,ハイパーパラメータ空間から値をランダムにサンプリングして評価し良い組み合わせを探索する方法で次元が増えても効率が落ちにくい
技術分野,ディープラーニングの要素技術,17,全結合層,重み,前の層のユニットの出力に掛け合わされるパラメータで学習によって値が更新されるニューラルネットワークの係数
技術分野,ディープラーニングの要素技術,17,全結合層,線形関数,入力ベクトルに重みを掛けて足し合わせバイアスを加えた一次式で全結合層の基本的な変換を表す関数
技術分野,ディープラーニングの要素技術,18,畳み込み層,Atrous Convolution,フィルタの要素の間に空白を挿入して畳み込みし受容野を広げながらパラメータ数を増やさずに済ませる畳み込み手法
